imo,description,ship_type
8012267,Cement Carrier,Cargo
9116761,Floating Storage/Production,Tanker
8788397,Trawler,Fishing
9002075,Tug,Tug
9974022,Bulk Carrier,Cargo
9402732,Crude Oil Tanker,Tanker
8998007,Multi Purpose Offshore Vessel,Cargo
9807255,Fishing Vessel,Other
8127335,General Cargo,Cargo
9172571,Bulk Carrier,Cargo
9493688,Bulk Carrier,Cargo
9248485,Crude Oil Tanker,Tanker
9237486,Container Ship,Cargo
9570321,Utility Vessel,Tug
9529011,Multi Purpose Offshore Vessel,High Speed Craft
8918564,Salvage/Rescue Vessel,Other
9797163,Tug,Tug
9848194,Ore Carrier,Cargo
9850252,Heavy Load Carrier,Cargo
9839533,Pilot Vessel,Pilot Vessel
8899976,General Cargo,Cargo
8102268,Bulk Carrier,Cargo
9626974,Bulk Carrier,Cargo
9058921,Oil Products Tanker,Tanker
9996915,General Cargo,Cargo
9454424,Container Ship,Cargo - Hazard A (Major)
8921937,Passenger Ship,Cargo
7703778,General Cargo,Cargo
9262522,Bulk Carrier,Cargo
9494228,Bulk Carrier,Cargo
7390765,Tug,Other
8857564,Fishing Vessel,Fishing
5259412,General Cargo,Cargo
9291353,Bulk Carrier,Cargo
8949941,Ro-Ro/Passenger Ship,Passenger
9362372,Oil/Chemical Tanker,Tanker
9427677,Multi Purpose Offshore Vessel,Other
8011732,Passenger Ship,Passenger
9708590,Bulk Carrier,Cargo
9296298,Container Ship,Cargo - Hazard B
7827380,Tug,Pleasure Craft
9196541,Fishing Vessel,Fishing
1099137,Oil/Chemical Tanker,Tanker - Hazard B
9162863,Tug,Tug
9267675,Vehicles Carrier,Cargo
7525205,Tug,Tug
9557757,Multi Purpose Offshore Vessel,Other
7808621,General Cargo,Cargo
7366855,Multi Purpose Offshore Vessel,Tug
8720852,Ro-Ro Cargo,
9986623,LNG Tanker,Tanker
8635667,Inland Supply Vessel,Local Vessel
6611916,General Cargo,Cargo
8980919,Tug,Tug
9429871,Oil Products Tanker,Tanker
9197363,Heavy Lift Vessel,Cargo
9315666,Tug,Tug
9544774,Bulk Carrier,Cargo
9186053,Tug,Tug
9034236,Oil/Chemical Tanker,Tanker
9573268,Bulk Carrier,Cargo
5380417,Trawler,Fishing
8303939,Oil Products Tanker,
7508996,Tug,Tug
9507350,General Cargo,Cargo
9822451,Floating Storage/Production,Tanker - Hazard D (Recognizable)
1050870,Container Ship,Cargo
9949687,Bulk Carrier,Cargo
9498949,Oil/Chemical Tanker,Tanker
7726782,Suction Dredger,Dredger
7423732,Oil Products Tanker,Tanker
9744295,Yacht,Pleasure Craft
9927328,Research/Survey Vessel,Other
9548158,Oil Products Tanker,Tanker
9176474,General Cargo,Cargo
9675559,Bulk Carrier,Cargo
8657744,General Cargo,Cargo
9339600,Container Ship,Cargo
5171189,Drill Ship,Other
7638337,LPG Tanker,Tanker - Hazard D (Recognizable)
9686522,Pusher Tug,Tug
9532795,Container Ship,Cargo - Hazard A (Major)
9384007,Oil/Chemical Tanker,Tanker
6615699,Motor Hopper,Cargo
9496692,Oil/Chemical Tanker,Tanker
9654842,Multi Purpose Offshore Vessel,Other
9880881,Passenger Ship,Passenger
8207707,Tug,Tug
9666845,Container Ship,Cargo - Hazard A (Major)
1109968,Tug,Tug
9347140,General Cargo,Cargo
9689500,Crew Boat,High Speed Craft
9373840,Tug,Tug
9869825,Multi Purpose Offshore Vessel,Passenger
9331529,Bulk Carrier,Cargo
9976824,LNG Tanker,Tanker
7816484,Oil/Chemical Tanker,Tanker
9530917,Crude Oil Tanker,Tanker
8121953,General Cargo,Cargo
8649967,Aggregates Carrier,Local Vessel
7505970,Tug,Tug
9549061,Tug,Tug
9221023,Oil/Chemical Tanker,Tanker
9742118,Cement Carrier,Cargo
7528477,Ro-Ro/Passenger Ship,Passenger
9495428,Tug,Tug
8847894,Fishing Vessel,Fishing
9888003,Bulk Carrier,Cargo
9736389,Container Ship,Cargo
9342451,Tug,Tug
9135157,Fishing Vessel,
9624445,Bulk Carrier,Cargo
9503328,Tug,Tug
8421963,General Cargo,Cargo
9513828,Tug,Tug
9100360,Fishing Vessel,Fishing
9374002,Bulk Carrier,Cargo
9709570,Crew Boat,Passenger
8976528,Inland Supply Vessel,Tug
1027964,Oil Products Tanker,Tanker
5310905,Training Ship,Special Craft
9499436,Bulk Carrier,Cargo
9539327,Wood Chips Carrier,Cargo
9302695,Container Ship,Cargo
1061441,Bulk Carrier,Cargo
9984912,Tug,Tug
9505924,Oil/Chemical Tanker,Tanker - Hazard B
9064994,Multi Purpose Offshore Vessel,Passenger
8709054,Fishing Vessel,Fishing
9708241,Fishing Vessel,Fishing
8418435,Multi Purpose Offshore Vessel,Tug
9108037,General Cargo,Cargo
8985086,Fishing Vessel,Fishing
9542453,General Cargo,Cargo
9278600,General Cargo,Cargo
9938236,Passenger Ship,Passenger
8316211,Bulk Carrier,Cargo
9288588,Oil/Chemical Tanker,Tanker
9415519,Ro-Ro/Passenger Ship,Passenger
1061154,General Cargo,Cargo
9413420,Bulk Carrier,Cargo
8881022,Fishing Vessel,Fishing
9770098,Fishing Vessel,Fishing
1076070,Tug,Tug
9512472,Multi Purpose Offshore Vessel,Reserved
8928870,General Cargo,Cargo
9421829,Landing Craft,Passenger
5418630,Tug,Tug
9630418,Container Ship,Cargo
8714994,Crude Oil Tanker,Tanker
9903592,Towing Vessel,Tug
9983578,Bulk Carrier,Cargo
9223186,Bulk Carrier,Cargo
7366257,Trawler,Fishing
9406269,LPG Tanker,Tanker
9744702,Multi Purpose Offshore Vessel,Other
9315367,Crude Oil Tanker,Tanker
9975375,Bulk Carrier,Cargo
7813949,Ro-Ro/Passenger Ship,Passenger
6825660,Tug,Fishing
7223950,Fishing Vessel,Fishing
9387700,Oil/Chemical Tanker,Tanker
9638525,Floating Storage/Production,Tanker
9905631,Fishing Vessel,Fishing
8312095,Bulk Carrier,Cargo
8424587,Tug,Tug
9517159,Multi Purpose Offshore Vessel,Cargo
9991044,Bulk Carrier,Cargo
3544710,General Cargo,
7609269,Fishing Vessel,Fishing
9422835,Crude Oil Tanker,Tanker
7700934,Bulk Carrier,Cargo
9663013,General Cargo,Cargo
9015709,General Cargo,Cargo
1119717,Tug,Tug
9060728,General Cargo,Cargo
8560551,Fishing Vessel,Pleasure Craft
9724594,Oil/Chemical Tanker,Tanker
9348297,Oil/Chemical Tanker,Tanker
7621786,Tug,Tug
9726188,Cement Carrier,Cargo
9443877,Oil/Chemical Tanker,Tanker - Hazard C (Minor)
9462158,Cement Carrier,Cargo
9757462,Oil Products Tanker,Tanker
9674866,General Cargo,Cargo
9889057,General Cargo,Cargo
9881718,Patrol Vessel,Law Enforce
7525918,Passenger Ship,Passenger
8650007,General Cargo,Cargo
7305904,Tug,Tug
9154505,Bulk Carrier,Cargo
8102141,Tug,Tug
9865295,Fishing Vessel,
8737398,Hopper Dredger,Other
7913505,Oil Products Tanker,Tanker
9800453,General Cargo,Cargo
7637553,Reefer,Cargo
9690573,Cement Carrier,Cargo
9775763,Container Ship,Cargo - Hazard A (Major)
9298076,General Cargo,Cargo
9717890,Tug,Other
9476642,Bulk Carrier,Cargo
8854433,Fishing Vessel,Fishing
9398668,Bulk Carrier,Cargo
9233868,Bulk Carrier,Cargo
9656400,Bulk Carrier,Cargo
9690664,Passenger Ship,Passenger
9632583,Multi Purpose Offshore Vessel,Other
9668532,Research/Survey Vessel,Other
6607525,Tug,Tug
9020106,Fishing Vessel,Fishing
1008970,Yacht,Sailing Vessel
9362700,Container Ship,Cargo
8867428,General Cargo,Cargo
8100741,General Cargo,Cargo
9104251,Oil Products Tanker,Tanker
9854868,Tug,Tug
1066116,General Cargo,Cargo
9657507,Oil Products Tanker,Tanker
8116049,Pipe Layer,Cargo
9528562,Bulk Carrier,Cargo
8025135,Bulk Carrier,Cargo
9346706,General Cargo,Cargo
9452191,Landing Craft,Pleasure Craft
1343564,"Inland, Motor Freighter",Cargo
9628350,Utility Vessel,Tug
9451484,Container Ship,Cargo - Hazard A (Major)
9555101,Container Ship,Cargo - Hazard C (Minor)
7809455,Fish Factory,Fishing
9815329,General Cargo,Cargo
1131466,Deck Cargo Ship,Cargo
7915395,Crude Oil Tanker,Tanker
8206832,Tug/Supply Vessel,Other
9446532,Bulk Carrier,Cargo
1056642,Oil/Chemical Tanker,Tanker
1039008,Tug,Tug
9242649,Container Ship,Cargo
9892822,LPG Tanker,Tanker
9034092,Suction Dredger,Other
9782027,Bulk Carrier,Cargo
9788083,High Speed Craft,High Speed Craft
9965423,LNG Tanker,Tanker - Hazard D (Recognizable)
2631449,Tug,Tug
9806770,Bulk Carrier,Cargo
9675078,LPG/Chemical Tanker,Tanker - Hazard A (Major)
9017367,Passenger Ship,Pleasure Craft
9883259,Oil/Chemical Tanker,Tanker
8777128,General Cargo,Other
8606472,Multi Purpose Offshore Vessel,Other
9709001,Bulk Carrier,Cargo
9285536,Multi Purpose Offshore Vessel,Cargo
9982419,Container Ship,Cargo - Hazard A (Major)
9368895,Vehicles Carrier,Cargo
8897863,Fishing Vessel,Fishing
1105340,Landing Craft,Cargo
1010818,Yacht,Pleasure Craft
9222742,Bulk Carrier,Cargo
9294159,Container Ship,Cargo
9966790,Multi Purpose Offshore Vessel,Anti-Pollution
9072769,Chemical Tanker,Tanker
9617404,General Cargo,Cargo
9416111,Oil/Chemical Tanker,Tanker - Hazard A (Major)
8889294,Motor Hopper,Cargo
9426439,Multi Purpose Offshore Vessel,Dredger
9142801,Passenger Ship,Passenger
9768344,Multi Purpose Offshore Vessel,Law Enforce
9340051,Container Ship,Cargo
9816191,Oil/Chemical Tanker,Tanker - Hazard B
9230127,Bulk Carrier,Cargo
9383895,Oil/Chemical Tanker,Tanker
9574559,Tug,Tug
9959010,Fishing Vessel,Fishing
9993406,High Speed Craft,High Speed Craft
1014307,Bulk Carrier,Cargo
9984728,LPG Tanker,Tanker
8540109,Tug,Tug
8832033,Fishing Vessel,Fishing
9352626,Multi Purpose Offshore Vessel,Other
8711112,Bulk Carrier,Cargo
8412950,Bulk Carrier,Cargo
9214123,Bulk Carrier,Cargo
9981661,Hydrofoil,High Speed Craft
9477907,Container Ship,Cargo
9953793,Vehicles Carrier,Cargo
9500261,Bulk Carrier,Cargo
1014620,High Speed Craft,High Speed Craft
9935662,Chemical Tanker,Tanker - Hazard B
7431882,Trailing Suction Hopper Dredger,Dredger
9528677,General Cargo,Cargo
8831649,Fishing Vessel,Fishing
8225450,Sailing Vessel,Military Ops
9419802,General Cargo,Cargo
9742716,Multi Purpose Offshore Vessel,
7625366,Utility Vessel,Military Ops
8972261,General Cargo,Cargo
8334964,Hopper Dredger,Other
9910909,Fish Carrier,Cargo
8138592,Fishing Vessel,Fishing
8769212,Offshore Supply Ship,Other
9299563,Crude Oil Tanker,Tanker
9636424,Yacht,Pleasure Craft
9666481,Reefer,Cargo
8902670,Salvage/Rescue Vessel,SAR
9754812,Tug,Tug
9275361,Container Ship,Cargo
7346893,Bulk Carrier,Cargo
8615124,"Inland, Motor Tanker, liquid cargo, type N",Tanker
9231212,Crude Oil Tanker,Tanker
8812801,Reefer,Cargo
9845661,Container Ship,Cargo - Hazard A (Major)
9592032,Bulk Carrier,Cargo
9176400,Tug,Cargo - Hazard A (Major)
7504598,Livestock Carrier,Other
9199282,Trailing Suction Hopper Dredger,Other
7237511,Fishing Vessel,Tanker
9269257,Crude Oil Tanker,Tanker
9771858,Fishing Vessel,Fishing
9831880,Tug,Tug
9061136,Container Ship,Cargo - Hazard D (Recognizable)
9907005,Oil/Chemical Tanker,Tanker
8876182,General Cargo,Cargo
9776016,Multi Purpose Offshore Vessel,Other
8208397,General Cargo,Cargo
9229582,Hopper Dredger,Dredger
9573878,Oil Products Tanker,Tanker
9103295,Tug,
8579277,Ro-Ro Cargo,Other
9263019,Pusher Tug,Tug
9969558,Fishing Vessel,Fishing
1074450,Bunkering Tanker,Tanker
9435387,Oil Products Tanker,Tanker - Hazard A (Major)
8990732,Fishing Vessel,Fishing
9016193,Tug,Tug
8516782,Fishing Vessel,Fishing
8988026,Yacht,Pleasure Craft
2317902,"Inland, Tug, single",Tug
9907299,Asphalt/Bitumen Tanker,Tanker
1014917,Salvage/Rescue Vessel,SAR
9315513,Multi Purpose Offshore Vessel,Cargo
9278129,Fishing Vessel,Fishing
8138839,General Cargo,Cargo
9388534,Container Ship,Cargo - Hazard A (Major)
8704224,Ro-Ro/Passenger Ship,Passenger
9604005,Bulk Carrier,Cargo
9596179,Bulk Carrier,Cargo
9677325,Bulk Carrier,Cargo
9569633,Crude Oil Tanker,Tanker
9975612,Container Ship,Cargo
8716277,"Inland, Unknown",Fishing
8605129,General Cargo,Cargo
9290103,Container Ship,Cargo
9681027,Tug,Tug
9237539,Crude Oil Tanker,Tanker - Hazard A (Major)
8854885,Fishing Vessel,
8509454,Vehicles Carrier,Cargo
9934266,General Cargo,Cargo
8316431,General Cargo,Cargo
9431927,Tug,Other
9037135,Oil Products Tanker,Tanker
7633662,Ro-Ro/Passenger Ship,Passenger
9794068,Crude Oil Tanker,Tanker
8300731,Reefer,Cargo
9174488,Oil Products Tanker,Tanker
8966743,Ro-Ro/Passenger Ship,Passenger
7374448,Oil Products Tanker,Tanker
8859495,General Cargo,Cargo
7813925,Reefer,Cargo
9555175,Container Ship,Cargo
9609495,Bulk Carrier,Cargo
7329235,Tug,Tug
9387102,Container Ship,Cargo
9612258,Passenger Ship,Other
9739525,Ore Carrier,Cargo
7909865,Timber Carrier,Cargo
9735000,Bulk Carrier,Cargo
9486946,LPG/Chemical Tanker,Tanker
9652337,Hopper Dredger,Other
9216339,General Cargo,Cargo
9367877,General Cargo,Cargo
9231444,Fishing Vessel,Fishing
8728543,Ro-Ro/Passenger Ship,Passenger
9968140,General Cargo,Cargo
9657727,Multi Purpose Offshore Vessel,Tug
9738375,Bulk Carrier,Cargo
7805021,Crane Ship,Other
9765457,LPG Tanker,Tanker
1077189,General Cargo,Cargo
9281645,Fishing Vessel,Fishing
1095234,Deck Cargo Ship,Cargo
7359199,General Cargo,Cargo
9131826,Bulk Carrier,Cargo
9581485,Fire Fighting Vessel,Tug
7411820,Cable Layer,High Speed Craft
9802102,Bulk Carrier,Cargo
9210921,Work Vessel,Other
9870666,Oil/Chemical Tanker,Tanker
9616852,Container Ship,Cargo
9354284,Ro-Ro/Passenger Ship,Passenger
9894131,Yacht,Pleasure Craft
9339947,Bulk Carrier,Cargo
9307396,Container Ship,Cargo - Hazard A (Major)
9226114,Fish Carrier,Cargo
8862820,General Cargo,Cargo
8906468,Fishing Vessel,Fishing
9033842,General Cargo,Cargo
1012244,Sailing Vessel,Sailing Vessel
8975976,General Cargo,Cargo
9593414,Crude Oil Tanker,Tanker
5337771,Passenger Ship,Passenger
7902922,Oil Products Tanker,Tanker
7321142,Tug,Tug
2417867,Fishing Vessel,Fishing
9101950,Fishing Vessel,Fishing
9696046,Bulk Carrier,Cargo
9405461,Bulk Carrier,Cargo
9444730,Container Ship,Cargo
9110468,Trawler,Fishing
9985435,Multi Purpose Offshore Vessel,Passenger
9916771,Bulk Carrier,Cargo
9004188,Container Ship,Cargo
9071284,Trawler,Fishing
9801732,Bulk Carrier,Cargo
9536454,Bulk Carrier,Cargo
9196917,Container Ship,Cargo
9593995,Multi Purpose Offshore Vessel,
8892904,General Cargo,Cargo
1070832,Crude Oil Tanker,Tanker
9528938,Multi Purpose Offshore Vessel,Tug
7708948,LNG Tanker,Tanker - Hazard A (Major)
9943372,Oil/Chemical Tanker,Tanker
9419747,Ro-Ro Cargo,Cargo
9352937,Fishing Vessel,Fishing
7319046,Fishing Vessel,Fishing
9690157,LNG Tanker,Tanker - Hazard D (Recognizable)
9625607,General Cargo,Cargo
8926638,Multi Purpose Offshore Vessel,Reserved
9235593,Container Ship,Cargo - Hazard A (Major)
9841237,Landing Craft,Cargo
1046295,Bulk Carrier,Cargo
9539535,Bulk Carrier,Cargo
9805817,Drilling Jack Up,Other
8513637,Crude Oil Tanker,Tanker
9946166,Yacht,Pleasure Craft
9421659,General Cargo,Cargo
9552044,General Cargo,Cargo
7210721,Multi Purpose Offshore Vessel,Cargo
9041095,Crude Oil Tanker,Tanker
9443346,Towing Vessel,Other
9944508,Container Ship,Cargo
9966831,Bulk Carrier,Cargo
9655779,Oil Products Tanker,Tanker - Hazard A (Major)
8100648,Research/Survey Vessel,Other
9975662,Fishing Vessel,Fishing
9804447,Heavy Load Carrier,Law Enforce
9586796,Diving Support Vessel,Dive Vessel
1069003,General Cargo,Cargo
8543395,Fishing Vessel,Fishing
1076422,Pusher Tug,Cargo
7721134,Ro-Ro/Passenger Ship,Passenger
8313922,Multi Purpose Offshore Vessel,Other
9429936,Research/Survey Vessel,Other
7608710,General Cargo,Cargo
9757929,Bulk Carrier,Cargo
9072757,LPG Tanker,Tanker
9270684,Container Ship,Cargo
9728605,Fire Fighting Vessel,Tug
1015583,Bulk Carrier,Cargo
8812112,Trawler,Fishing
8401171,Research/Survey Vessel,Dive Vessel
9660504,Crew Boat,High Speed Craft
8739011,Oil Products Tanker,Tanker
9947225,Bulk Carrier,Cargo
9796559,Asphalt/Bitumen Tanker,Tanker
9252058,Bulk Carrier,Cargo
9950088,Container Ship,Cargo
9117820,Container Ship,Cargo - Hazard A (Major)
9272955,Bulk Carrier,Cargo
8719413,General Cargo,Cargo
9399624,Oil Products Tanker,Tanker
9600190,Oil Products Tanker,Tanker
9516258,Oil/Chemical Tanker,Tanker
9643817,"Inland, Unknown",Dredger
7809352,Anchor Handling Vessel,Other
8300975,Container Ship,Cargo
9651096,General Cargo,Cargo
8614223,General Cargo,Cargo
9572795,Towing Vessel,Tug
9805142,Fishery Patrol Vessel,Fishing
8926640,Research/Survey Vessel,Other
9825805,Ro-Ro/Passenger Ship,Passenger
9197105,Ro-Ro/Passenger Ship,Passenger
9221786,Oil/Chemical Tanker,Tanker
9718806,Oil/Chemical Tanker,Tanker
9342621,Oil Products Tanker,Tanker
5028605,Tug,Tug
9986910,Bulk Carrier,Cargo
9064803,Ro-Ro/Passenger Ship,Passenger
9592551,Crew Boat,Passenger
8654730,General Cargo,Cargo
8981391,"Inland, Unknown",Other
9734680,LPG Tanker,Tanker
9178642,Fishing Vessel,Fishing
8820327,Tug,Tug
9382841,Multi Purpose Offshore Vessel,Wing In Grnd
9574262,Tug,Tug
9039200,Trawler,Fishing
9046679,Tug,Cargo
9247003,Ro-Ro/Passenger Ship,Passenger
9120231,Oil Products Tanker,Tanker - Hazard C (Minor)
9647162,General Cargo,Cargo
8320470,Multi Purpose Offshore Vessel,SAR
9133032,General Cargo,Cargo
9429364,Trawler,Fishing
9264128,Bulk Carrier,Cargo
8129503,Tug,Tug
9159074,Ro-Ro Cargo,Sailing Vessel
9732412,Bulk Carrier,Cargo
7728340,Utility Vessel,Reserved
9744958,LPG/Chemical Tanker,Tanker
8618437,Container Ship,Cargo
8220644,Multi Purpose Offshore Vessel,Tug
9405564,Oil/Chemical Tanker,Tanker
7618856,Trawler,
8019514,Bulk Carrier,Cargo
7433098,Bulk Carrier,Cargo
7817531,Trawler,Fishing
9615353,LPG Tanker,Tanker - Hazard A (Major)
9903827,General Cargo,Cargo
9430612,Oil Products Tanker,Tanker
9902574,Vehicles Carrier,Cargo
9383637,Work Vessel,Cargo
9542207,Tug,Tug
9778806,Container Ship,Cargo - Hazard A (Major)
9914228,LPG/Chemical Tanker,Tanker
8805585,Reefer,Cargo
9845817,Bulk Carrier,Cargo
9434565,Bulk Carrier,Cargo
9784245,Container Ship,Cargo - Hazard A (Major)
9785665,Oil Products Tanker,Tanker
6159463,General Cargo,Cargo
9538464,Oil Products Tanker,Tanker
9148867,Waste Disposal Vessel,Cargo
1002835,Yacht,Pleasure Craft
3558412,Edible Oil Tanker,Tanker
8692433,Utility Vessel,Tug
7337543,Trawler,Tug
9129043,General Cargo,Cargo
9458664,Yacht,Reserved
1034553,Deck Cargo Ship,Cargo
9625968,Crude Oil Tanker,Tanker
9035424,Bulk Carrier,Cargo
8420062,Bulk Carrier,Cargo
8591885,Bulk Carrier,Cargo
9304954,Ro-Ro/Passenger Ship,Passenger
1084417,Tug,Tug
9567544,Bulk Carrier,Cargo
8904460,Floating Storage/Production,Tanker
8872538,General Cargo,Cargo
8602945,General Cargo,Cargo
1149607,Tug,
9043718,Passenger Ship,Passenger
9848675,Hopper Dredger,Dredger
7120469,Tanker,Tanker
7630098,Fishing Vessel,Fishing
1096276,Passenger Ship,Passenger
9335147,Oil/Chemical Tanker,Tanker
9357200,Heavy Lift Vessel,Cargo
8401248,General Cargo,Cargo
7923249,Hydrofoil,High Speed Craft
9335185,Container Ship,Cargo - Hazard A (Major)
9947897,Aggregates Carrier,Cargo
9111618,Container Ship,Cargo
8888733,Crew Boat,Port Tender
9437634,Bulk Carrier,Cargo
9125528,Fishing Vessel,Fishing
9363156,Container Ship,Cargo
1077438,Fishing Vessel,Fishing
9751274,Fishing Vessel,Fishing
9572991,Tug,Tug
1090480,General Cargo,Cargo
8517047,Oil/Chemical Tanker,Other
9356828,Multi Purpose Offshore Vessel,Tug
9908140,Container Ship,Cargo - Hazard A (Major)
8690306,Tug,Tug
9612894,Landing Craft,Cargo
9198240,Bulk Carrier,Cargo
9238727,Trawler,Fishing
8746296,Passenger Ship,Passenger
9679892,Container Ship,Cargo - Hazard A (Major)
1086324,General Cargo,Cargo
9307267,Container Ship,Cargo
8129606,Oil Products Tanker,Tanker
9478652,Hopper Dredger,Dredger
9188984,Oil Products Tanker,Tanker
8509129,Fishing Vessel,Fishing
9485021,Bulk Carrier,Cargo
8404654,Oil Products Tanker,Tanker
9946453,Ro-Ro/Passenger Ship,Passenger
9057903,Tug,Tug
8030908,Buoy-Laying Vessel,Anti-Pollution
8841280,Passenger Ship,Wing In Grnd
8432015,Trawler,Fishing
9746786,LPG/Chemical Tanker,Tanker
7434389,Crew Boat,Reserved
8701002,General Cargo,Cargo
8121599,General Cargo,Cargo
9122344,Utility Vessel,Reserved
9301720,Bulk Carrier,Cargo
1084596,Deck Cargo Ship,Cargo
9442419,Tug/Supply Vessel,Tug
9274599,Tug,Tug
9202168,Container Ship,Cargo
9031430,General Cargo,Cargo
9253208,Ro-Ro/Container Carrier,Cargo
9300635,Multi Purpose Offshore Vessel,Tug
8764901,Offshore Supply Ship,Other
9836397,Pusher Tug,Local Vessel
8991085,Tug,Local Vessel
9592458,Bulk Carrier,Cargo
8607892,High Speed Craft,High Speed Craft
9205627,Bulk Carrier,Cargo
9653379,General Cargo,Cargo
8741806,General Cargo,Other
9274496,Utility Vessel,
7930462,Ro-Ro/Passenger Ship,Passenger
9292498,Crude Oil Tanker,Tanker
9965411,Fishing Vessel,Fishing
8015568,General Cargo,Cargo
9438755,Utility Vessel,Passenger
9364758,Bulk Carrier,Cargo
9781384,Crew Boat,Other
1036525,Bulk Carrier,Cargo
1040332,Deck Cargo Ship,Cargo
7715484,"Inland, Service Vessel, Police Patrol",Other
9464895,Bulk Carrier,Cargo
9554030,Bulk Carrier,Cargo
8858922,General Cargo,Cargo
7607792,Oil Products Tanker,
7929944,Patrol Vessel,SAR
8408703,Bulk Carrier,Cargo
7807392,Research/Survey Vessel,Other
8324579,Diving Support Vessel,Other
9681584,Fishing Vessel,Fishing
9697399,Fishing Vessel,Fishing
8224004,General Cargo,Cargo
7101451,Multi Purpose Offshore Vessel,Cargo
7007459,Trawler,Fishing
9852365,Container Ship,Cargo - Hazard D (Recognizable)
9522441,Crane Barge,Other
9808156,Crude Oil Tanker,Tanker
9289996,Utility Vessel,Tug
9556430,General Cargo,Cargo
9956800,Bulk Carrier,Cargo
7511981,Tug,Tug
9780653,Container Ship,Cargo
9371567,Multi Purpose Offshore Vessel,Other
9382229,Multi Purpose Offshore Vessel,Other
9600592,Cement Carrier,Cargo
8514629,General Cargo,Other
9181493,General Cargo,Cargo
8212659,Container Ship,Cargo
1028231,Bulk Carrier,Cargo
9223435,General Cargo,Cargo
1068891,Bulk Carrier,Cargo
8989513,Ro-Ro/Passenger Ship,Passenger
9945344,Container Ship,Cargo
9997361,General Cargo,Cargo
8132835,General Cargo,Cargo
9168893,Bulk Carrier,Cargo
9785146,Tug,Tug
9362633,Heavy Lift Vessel,Cargo
1003762,Yacht,Pleasure Craft
9911044,Fish Carrier,Cargo
8609228,Hopper Dredger,Cargo
9820752,Patrol Vessel,Other
9276339,Vehicles Carrier,Cargo
9453004,Fishing Vessel,Fishing
7119965,General Cargo,Cargo
9586851,Research/Survey Vessel,Other
8213603,Reefer,Cargo
9005819,Tug,Tug
1029625,Yacht,Pleasure Craft
9594092,Ro-Ro/Passenger Ship,Passenger
8108573,Bulk Carrier,
7526857,General Cargo,Wing In Grnd
8711083,Oil Products Tanker,Tanker
9288291,Bulk Carrier,Cargo
8727288,Trawler,Fishing
9542570,Tug,Tug
8409070,Passenger Ship,Passenger
9519250,Tug,Tug
9041423,General Cargo,Cargo
8723725,Fishing Vessel,Fishing
7038642,Tug,Tug
9137272,Tug,Tug
9560936,Oil/Chemical Tanker,Tanker
9721956,Research/Survey Vessel,Other
9872729,Ro-Ro/Passenger Ship,Passenger
8742692,Ro-Ro/Passenger Ship,Passenger
9254068,Hopper Dredger,Dredger
9493937,Bulk Carrier,Cargo
7620005,Crane Ship,Other
9954591,Tug,Tug
7908160,Research/Survey Vessel,Other
9682435,Tug/Ice Breaker,Tug
9303871,Bulk Carrier,Cargo
9709635,General Cargo,Cargo
9165487,Fish Carrier,Other
9376995,Research/Survey Vessel,Reserved
8103042,Trawler,Fishing
9721152,Tug,Tug
9495973,Tug,Other
9879454,Passenger Ship,Passenger
8679687,Hopper Dredger,Cargo
9226815,Container Ship,Cargo
9317303,Work Vessel,Other
9769099,Tug,Tug
8424147,Tug,Local Vessel
9073397,Fishing Vessel,Fishing
9412880,LNG Tanker,Tanker - Hazard A (Major)
8629008,Fishing Vessel,Fishing
9250634,Tug,Military Ops
9556014,Tug,Tug
9326512,Oil/Chemical Tanker,Tanker
9492945,Oil Products Tanker,Tanker
8505848,Bulk Carrier,Cargo
9576923,Bulk Carrier,Cargo
8611219,General Cargo,Cargo
8605973,Trawler,Fishing
8905567,Fishing Vessel,Fishing
1018872,Oil/Chemical Tanker,Tanker
7514828,Tug,Cargo
8210950,Ro-Ro/Passenger Ship,Passenger
7904877,General Cargo,Cargo
9355288,Container Ship,Cargo - Hazard A (Major)
9429974,Tug,Tug
8592310,General Cargo,Cargo
9908451,Bulk Carrier,Cargo
8891376,General Cargo,Cargo
9163520,General Cargo,Cargo
9238777,Container Ship,Cargo
7820241,Ro-Ro Cargo,Cargo
8508266,Fishing Vessel,Fishing
1009053,Yacht,Pleasure Craft
8687438,Fishing Vessel,Fishing
9344148,Oil Products Tanker,Tanker
9028249,Yacht,Pleasure Craft
7411600,General Cargo,Cargo
8643028,Ro-Ro/Passenger Ship,Passenger
8985385,Ro-Ro/Passenger Ship,Passenger
1017593,Hopper Dredger,Dredger
9121053,Tug/Supply Vessel,Tug
9886108,Tug,Tug
9852377,Oil Products Tanker,Other
5244974,Tug,
9252060,Oil/Chemical Tanker,Tanker
9997012,Container Ship,Cargo
9189861,Bulk Carrier,Cargo
9558505,Tug,Tug
8682464,Landing Craft,Cargo
9607849,Passenger Ship,Passenger
9342671,Container Ship,Cargo
8603963,Passenger Ship,Passenger
7905039,Reefer,Cargo
9155963,General Cargo,Cargo
9005106,LPG Tanker,Tanker
9739757,Utility Vessel,Cargo
9935064,Ro-Ro/Container Carrier,Cargo
9125712,Oil Products Tanker,Tanker
9637181,"Inland, Motor Tanker, liquid cargo, type C",Tanker
9914589,Fishing Vessel,Fishing
9864318,LPG Tanker,Tanker
8721985,Fishing Vessel,Fishing
7718668,Patrol Vessel,SAR
